,PLAYER_ID,PLAYER_NAME,PLAYER_POSITION,TEAM_ID,PLAYER_BACK_NUMBER,PLAYER_BIRTH_DATE,PLAYER_HEIGHT_WEIGHT,PLAYER_EDUCATION_PATH
652,653,김태호,포수,1,109.0,2001-02-15,"178cm, 93kg",신도초(해운대리틀)-센텀중-부산정보고-동아대
653,654,김태훈,투수,1,95.0,2006-10-26,"188cm, 88kg",부평남초(부평구리틀)-동인천중-소래고
654,655,김한별,내야수,1,68.0,2001-01-18,"177cm, 85kg",효제초-선린중-배재고
655,656,김형준,포수,1,25.0,1999-11-02,"187cm, 98kg",가동초-세광중-세광고-NC-상무
656,657,김휘건,투수,1,19.0,2005-08-27,"191cm, 105kg",소양초-춘천중-휘문고
657,658,김휘집,내야수,1,44.0,2002-01-01,"180cm, 92kg",양목초(히어로즈리틀)-대치중-신일고-키움
658,659,노재원,투수,1,110.0,2001-07-26,"179cm, 93kg",중대초-배명중-배명고
659,660,데이비슨,내야수,1,24.0,1991-03-26,"190cm, 104kg",미국 Yucaipa(고)
660,661,도태훈,내야수,1,16.0,1993-03-18,"184cm, 85kg",양정초-개성중-부산고-동의대-NC-상무
661,662,라일리,투수,1,3.0,1996-07-09,"190cm, 100kg",미국 Louisville(대)
662,663,로건,투수,1,12.0,1997-05-23,"186cm, 105kg",미국 IMG Academy(고)
663,664,류진욱,투수,1,41.0,1996-10-10,"189cm, 88kg",양정초-개성중-부산고
664,665,목지훈,투수,1,20.0,2004-05-11,"181cm, 83kg",효제초-청량중-신일고
665,666,박건우,외야수,1,37.0,1990-09-08,"184cm, 80kg",역삼초-서울이수중-서울고-두산-경찰-두산
666,667,박동수,투수,1,111.0,1999-05-24,"177cm, 85kg",서울학동초-서울경원중-덕수고-고려대-NC-상무
667,668,박민우,내야수,1,2.0,1993-02-06,"185cm, 80kg",마포초(용산구리틀)-선린중-휘문고
668,669,박세혁,포수,1,10.0,1990-01-09,"181cm, 86kg",수유초-신일중-신일고-고려대-두산-상무-두산
669,670,박시원,외야수,1,53.0,2001-05-30,"185cm, 85kg",광주서림초-광주동성중-광주제일고
670,671,박영빈,외야수,1,39.0,1997-07-16,"182cm, 88kg",호원초(의정부리틀)-청량중-충암고-경희대
671,672,박인우,내야수,1,112.0,2001-12-14,"177cm, 80kg",배봉초(군포시리틀)-청량중-배명고-용인예술과학대
672,673,박주찬,내야수,1,113.0,1996-01-11,"178cm, 84kg",동막초-경포중-강릉고-동아대
673,674,박주현,투수,1,67.0,1999-08-03,"184cm, 85kg",철산초(광명리틀)-영동중-충암고-KT
674,675,박지한,투수,1,114.0,2000-10-21,"185cm, 90kg",동일중앙초-부산중-개성고
675,676,박한결,외야수,1,,2004-04-26,"181cm, 90kg",본리초-경복중-경북고-NC-상무
