GAME_DATE,STADIUM,HOME_SCORE,AWAY_SCORE,IS_RAINED_OUT,HOME_TEAM_NAME,AWAY_TEAM_NAME
2001-05-06 14:00:00,시민,7,6,N,삼성,현대
2001-05-06 14:00:00,인천,4,5,N,SK,KIA
2001-05-06 14:00:00,잠실,3,3,N,두산,LG
2001-05-06 14:00:00,대전,5,2,N,한화,롯데
2001-05-08 18:30:00,무등,11,5,N,KIA,삼성
2001-05-08 18:30:00,잠실,7,10,N,두산,한화
2001-05-08 18:30:00,수원,3,6,N,현대,LG
2001-05-09 15:00:00,마산,9,10,N,롯데,SK
2001-05-09 18:30:00,마산,4,4,N,롯데,SK
2001-05-09 18:30:00,무등,8,2,N,KIA,삼성
2001-05-09 18:30:00,잠실,7,6,N,두산,한화
2001-05-09 18:30:00,수원,8,4,N,현대,LG
2001-05-01 18:30:00,마산,4,1,N,롯데,SK
2001-05-01 18:30:00,무등,4,0,N,KIA,삼성
2001-05-01 18:30:00,잠실,2,3,N,두산,한화
2001-05-01 18:30:00,수원,7,2,N,현대,LG
2001-05-11 18:30:00,인천,5,1,N,SK,두산
2001-05-11 18:30:00,잠실,3,8,N,LG,삼성
2001-05-11 18:30:00,사직,8,3,N,롯데,한화
2001-05-11 18:30:00,수원,4,1,N,현대,KIA
2001-05-12 16:50:00,사직,9,10,N,롯데,한화
2001-05-12 17:00:00,인천,6,2,N,SK,두산
2001-05-12 17:00:00,잠실,1,4,N,LG,삼성
2001-05-12 17:00:00,수원,4,7,N,현대,KIA
2001-05-13 14:00:00,인천,5,8,N,SK,두산
2001-05-13 14:00:00,잠실,8,9,N,LG,삼성
2001-05-13 14:00:00,사직,6,3,N,롯데,한화
2001-05-13 14:00:00,수원,4,3,N,현대,KIA
2001-05-15 18:30:00,시민,12,5,N,삼성,롯데
2001-05-15 18:30:00,무등,2,7,N,KIA,SK
2001-05-15 18:30:00,잠실,6,9,N,LG,두산
2001-05-15 18:30:00,청주,1,6,N,한화,현대
2001-05-16 18:30:00,시민,7,4,N,삼성,롯데
2001-05-16 18:30:00,무등,6,1,N,KIA,SK
2001-05-16 18:30:00,잠실,4,3,N,LG,두산
2001-05-16 18:30:00,청주,3,8,N,한화,현대
2001-05-17 18:30:00,시민,4,8,N,삼성,롯데
2001-05-17 18:30:00,무등,3,2,N,KIA,SK
